"month","total_orders","total_revenue","prev_month_revenue","mom_growth_pct"
"2016-10-01 00:00:00",265,46566.71,NULL,NULL
"2016-12-01 00:00:00",1,19.62,46566.71,-100.0
"2017-01-01 00:00:00",750,127545.67,19.62,649979.9
"2017-02-01 00:00:00",1653,271298.65,127545.67,112.7
"2017-03-01 00:00:00",2546,414369.39,271298.65,52.7
"2017-04-01 00:00:00",2303,390952.18,414369.39,-5.7
"2017-05-01 00:00:00",3546,567066.73,390952.18,45.0
"2017-06-01 00:00:00",3135,490225.60,567066.73,-13.6
"2017-07-01 00:00:00",3872,566403.93,490225.60,15.5
"2017-08-01 00:00:00",4193,646000.61,566403.93,14.1
"2017-09-01 00:00:00",4150,701169.99,646000.61,8.5
"2017-10-01 00:00:00",4478,751140.27,701169.99,7.1
"2017-11-01 00:00:00",7289,1153528.05,751140.27,53.6
"2017-12-01 00:00:00",5513,843199.17,1153528.05,-26.9
"2018-01-01 00:00:00",7069,1078606.86,843199.17,27.9
"2018-02-01 00:00:00",6555,966510.88,1078606.86,-10.4
"2018-03-01 00:00:00",7003,1120678.00,966510.88,16.0
"2018-04-01 00:00:00",6798,1132933.95,1120678.00,1.1
"2018-05-01 00:00:00",6749,1128836.69,1132933.95,-0.4
"2018-06-01 00:00:00",6099,1012090.68,1128836.69,-10.3
"2018-07-01 00:00:00",6159,1027903.86,1012090.68,1.6
"2018-08-01 00:00:00",6351,985414.28,1027903.86,-4.1
