"customer_state","total_orders","avg_delivery_days","late_rate_pct","avg_days_early_or_late","late_rank","sla_status"
"AL",397,24.0,23.9,8.0,1,"Critical"
"MA",717,21.1,19.7,8.9,2,"Critical"
"PI",476,19.0,16.0,10.6,3,"Critical"
"CE",1279,20.8,15.3,10.1,4,"Critical"
"SE",335,21.0,15.2,9.3,5,"Critical"
"BA",3256,18.9,14.0,10.1,6,"At Risk"
"RJ",12350,14.8,13.5,11.1,7,"At Risk"
"TO",274,17.2,12.8,11.4,8,"At Risk"
"PA",946,23.3,12.4,13.4,9,"At Risk"
"ES",1995,15.3,12.2,9.8,10,"At Risk"
"RR",41,29.0,12.2,16.6,10,"At Risk"
"MS",701,15.2,11.6,10.4,12,"At Risk"
"PB",517,20.0,11.0,12.6,13,"At Risk"
"RN",474,18.8,10.8,13.0,14,"At Risk"
"PE",1593,18.0,10.8,12.6,14,"At Risk"
"SC",3546,14.5,9.8,10.8,16,"At Risk"
"GO",1957,15.2,8.2,11.5,17,"At Risk"
"DF",2080,12.5,7.1,11.3,18,"Healthy"
"RS",5345,14.8,7.1,13.2,18,"Healthy"
"MT",886,17.6,6.8,13.7,20,"Healthy"
"SP",40501,8.3,5.9,10.4,21,"Healthy"
"MG",11354,11.5,5.6,12.5,22,"Healthy"
"PR",4923,11.5,5.0,12.6,23,"Healthy"
"AP",67,26.7,4.5,19.1,24,"Healthy"
"AM",145,26.0,4.1,18.9,25,"Healthy"
"AC",80,20.6,3.8,20.1,26,"Healthy"
"RO",243,18.9,2.9,19.4,27,"Healthy"
