"seller_id","total_orders","total_revenue","avg_review_score","late_delivery_rate_pct","avg_delivery_days","revenue_rank","review_rank","seller_tier"
"4869f7a5dfa277a7dca6462dcf3b52b2",1148,226987.93,4.14,11.6,14.5,1,469,"Good"
"53243585a1d6dc2643021fd1853d8905",400,217940.44,4.13,4.0,12.9,2,487,"Star Seller"
"4a3ca9315b744ce9f8e9374361493884",1949,196882.12,3.83,11.0,13.9,3,725,"Good"
"fa1c13f2614d7b5c4749cbc52fecda94",579,190917.14,4.37,10.2,12.8,4,202,"Good"
"7c67e1448b00f6e969d365cea6b010ab",1355,186570.05,3.35,9.6,21.9,5,850,"Average"
"7e93a43ef30c4f03f38b393420bc753a",322,165981.49,4.36,5.6,10.8,6,213,"Star Seller"
"da8622b14eb17ae2831f4ac5b9dab84a",1548,159816.87,4.07,7.3,10.7,7,528,"Star Seller"
"7a67c85e85bb2ce8582c35f2203ad736",1155,139658.69,4.27,5.9,10.7,8,322,"Star Seller"
"1025f0e2d44d7041d6cf58b6550e0bfa",1420,138208.56,3.88,9.2,11.6,9,701,"Good"
"955fee9216a65b617aa5c0531780ce60",1472,131836.71,4.09,8.1,10.3,10,516,"Good"
"46dc3b2cc0980fb8ec44634e21d2718e",523,122811.38,4.26,6.3,11.3,11,331,"Star Seller"
"6560211a19b47992c3666cc44a7e94c0",1996,120702.83,3.95,6.2,9.1,12,634,"Good"
"620c87c171fb2a6dd6e8bb4dec959fc6",778,112461.50,4.27,9.5,12.4,13,325,"Good"
"7d13fca15225358621be4086e1eb0964",571,112436.18,4.02,11.9,15.2,14,573,"Good"
"5dceca129747e92ff8ef7a997dc4f8ca",343,111126.73,4.02,5.8,10.8,15,572,"Star Seller"
"1f50f920176fa81dab994f9023523100",1926,106655.71,3.99,9.4,15.1,16,599,"Good"
"cc419e0650a3c5ba77189a1882b7556a",1719,101090.96,4.14,6.0,11.1,17,466,"Star Seller"
"a1043bafd471dff536d0c462352beb48",752,99309.23,4.25,5.6,13.1,18,348,"Star Seller"
"3d871de0142ce09b7081e2b9d1733cb1",1131,93407.40,4.15,5.9,13.0,19,455,"Star Seller"
"edb1ef5e36e0c8cd84eb3c9b003e486d",174,79144.90,4.45,7.5,11.3,20,135,"Star Seller"
"ccc4bbb5f32a6ab2b7066a4130f114e3",189,72926.72,4.32,7.4,15.4,21,272,"Star Seller"
"f7ba60f8c3f99e7ee4042fdef03b70c4",229,68070.00,4.22,16.6,12.7,22,377,"Average"
"fe2032dab1a61af8794248c8196565c9",305,65689.71,4.40,8.5,10.1,23,185,"Good"
"8581055ce74af1daba164fdbd55a40de",427,64011.22,4.27,9.8,12.3,24,329,"Good"
"cca3071e3e9bb7d12640c9fbe2301306",817,63035.16,3.88,5.4,13.7,25,693,"Good"
"04308b1ee57b6625f47df1d56f00eedf",92,58991.80,3.95,12.0,18.4,26,638,"Good"
"522620dcb18a6b31cd7bdf73665113a9",178,56690.49,3.91,10.1,14.7,27,669,"Good"
"de722cd6dad950a92b7d4f82673f8833",377,55126.30,4.17,4.0,12.4,28,431,"Star Seller"
"37be5a7c751166fbc5f8ccba4119e043",278,54735.55,4.32,2.5,10.2,29,270,"Star Seller"
"17e34d8224d27a541263c4c64b11a56b",260,54440.28,4.20,8.1,13.5,30,395,"Good"
"7ddcbb64b5bc1ef36ca8c151f6ec77df",334,54435.66,3.98,8.4,12.2,31,609,"Good"
"25c5c91f63607446a97b143d2d535d31",266,54208.78,3.74,6.0,13.6,32,776,"Good"
"218d46b86c1881d022bce9c68a7d4b15",420,53710.30,4.17,9.0,13.3,33,426,"Good"
"ceaec5548eefc6e23e6607c5435102e7",206,51478.18,4.20,5.8,12.5,34,393,"Star Seller"
"f5a590cf36251cf1162ea35bef76fe84",118,51232.78,4.28,10.2,11.3,35,314,"Good"
"e882b2a25a10b9c057cc49695f222c19",58,51057.54,4.59,0.0,9.0,36,57,"Star Seller"
"2bf6a2c1e71bbd29a4ad64e6d3c3629f",31,50628.90,4.19,9.7,12.8,37,401,"Good"
"f8db351d8c4c4c22c6835c19a46f01b0",714,50082.60,4.25,5.9,9.4,38,340,"Star Seller"
"b2ba3715d723d245138f291a6fe42594",350,49302.18,4.20,8.6,13.5,39,387,"Good"
"17f51e7198701186712e53a39c564617",61,48019.00,4.34,8.2,22.2,40,236,"Good"
"8160255418d5aaa7dbdc9f4c64ebda44",424,46368.39,3.85,17.9,16.4,41,718,"Average"
"966cb4760537b1404caedd472cc610a5",67,45928.26,4.13,3.0,9.5,42,473,"Star Seller"
"77530e9772f57a62c906e1c21538ab82",381,45676.60,4.08,11.5,14.6,43,522,"Good"
"4e922959ae960d389249c378d1c939f5",446,45338.42,3.90,10.8,14.1,44,676,"Good"
"850f4f8af5ea87287ac68de36e29107f",191,45285.37,4.29,6.3,9.7,45,306,"Star Seller"
"c826c40d7b19f62a09e2d7c5e7295ee2",365,44653.04,4.09,9.0,12.7,46,515,"Good"
"b33e7c55446eabf8fe1a42d037ac7d6d",152,44215.17,4.19,13.2,16.0,47,404,"Good"
"ba90964cff9b9e0e6f32b23b82465f7b",38,44212.50,4.42,5.3,9.6,48,166,"Star Seller"
"eeb6de78f79159600292e314a77cbd18",83,43510.84,4.42,3.6,11.6,49,165,"Star Seller"
"c3cfdc648177fdbbbb35635a37472c53",307,43048.18,4.45,2.3,9.2,50,140,"Star Seller"
